conta;descricao;debito;credito
11;Caixa;1500,00;1100,00
12;Depositos a ordem;52100,00;46000,00
211;Clientes;24900,00;21200,00
221;Fornecedores;16000,00;20600,00
2432;IVA dedutivel;2600,00;1900,00
2433;IVA liquidado;1000,00;2780,00
25;Financiamentos obtidos;2000,00;13500,00
32;Mercadorias;6900,00;3100,00
43;Activos fixos tangiveis;38000,00;0,00
51;Capital;0,00;25000,00
56;Resultados transitados;0,00;8200,00
61;CMVMC;15100,00;0,00
62;Fornecimentos e servicos externos;11800,00;0,00
63;Gastos com pessoal;11900,00;0,00
64;Depreciacoes;1300,00;0,00
69;Gastos de financiamento;320,00;0,00
71;Vendas;0,00;36140,00
72;Prestacoes de servicos;0,00;5900,00
